timestamp,topic,value,status
2026-05-04 09:53:45,aquanet/alerts,ALERT TURBIDITY: 7.8 NTU exceeds 5.0 NTU - TREATMENT REQUIRED,ALERT
2026-05-04 09:53:45,aquanet/alerts,ALERT pH LOW: 6.24 - CORROSION RISK - below 6.5,ALERT
2026-05-04 09:53:55,aquanet/water/turbidity,9.0,ALERT - Turbidity 9.0 NTU exceeds 5.0
2026-05-04 09:53:55,aquanet/water/ecoli,3100.0,ALERT - E.coli 3100.0 CFU/100ml exceeds 540.0
2026-05-04 09:53:55,aquanet/water/ph,6.86,OK
2026-05-04 09:53:55,aquanet/water/nitrate,0.45,OK
2026-05-04 09:53:55,aquanet/hydraulic/pressure,3.6,OK
2026-05-04 09:53:55,aquanet/hydraulic/flowrate,89.4,OK
2026-05-04 09:53:55,aquanet/alerts,ALERT E.COLI: 3100.0 CFU/100ml exceeds NPS-FM limit of 540.0 - BACTERIAL CONTAMINATION DETECTED,ALERT
2026-05-04 09:53:55,aquanet/alerts,ALERT TURBIDITY: 9.0 NTU exceeds 5.0 NTU - TREATMENT REQUIRED,ALERT
2026-05-04 09:54:05,aquanet/water/turbidity,11.0,ALERT - Turbidity 11.0 NTU exceeds 5.0
2026-05-04 09:54:05,aquanet/water/ecoli,31000.0,ALERT - E.coli 31000.0 CFU/100ml exceeds 540.0
2026-05-04 09:54:05,aquanet/water/ph,6.67,OK
2026-05-04 09:54:05,aquanet/water/nitrate,0.3,OK
2026-05-04 09:54:05,aquanet/hydraulic/pressure,3.49,OK
2026-05-04 09:54:05,aquanet/hydraulic/flowrate,74.5,OK
2026-05-04 09:54:05,aquanet/alerts,ALERT E.COLI: 31000.0 CFU/100ml exceeds NPS-FM limit of 540.0 - BACTERIAL CONTAMINATION DETECTED,ALERT
2026-05-04 09:54:05,aquanet/alerts,ALERT TURBIDITY: 11.0 NTU exceeds 5.0 NTU - TREATMENT REQUIRED,ALERT
2026-05-04 09:54:15,aquanet/water/turbidity,22.0,ALERT - Turbidity 22.0 NTU exceeds 5.0
2026-05-04 09:54:15,aquanet/water/ecoli,1100.0,ALERT - E.coli 1100.0 CFU/100ml exceeds 540.0
2026-05-04 09:54:15,aquanet/water/ph,6.08,ALERT - pH 6.08 below minimum 6.5
2026-05-04 09:54:15,aquanet/water/nitrate,0.3,OK
2026-05-04 09:54:15,aquanet/hydraulic/pressure,2.95,OK
2026-05-04 09:54:15,aquanet/hydraulic/flowrate,96.4,OK
2026-05-04 09:54:15,aquanet/alerts,ALERT E.COLI: 1100.0 CFU/100ml exceeds NPS-FM limit of 540.0 - BACTERIAL CONTAMINATION DETECTED,ALERT
2026-05-04 09:54:15,aquanet/alerts,ALERT TURBIDITY: 22.0 NTU exceeds 5.0 NTU - TREATMENT REQUIRED,ALERT
2026-05-04 09:54:15,aquanet/alerts,ALERT pH LOW: 6.08 - CORROSION RISK - below 6.5,ALERT
2026-05-04 09:54:25,aquanet/water/turbidity,6.9,ALERT - Turbidity 6.9 NTU exceeds 5.0
2026-05-04 09:54:25,aquanet/water/ecoli,850.0,ALERT - E.coli 850.0 CFU/100ml exceeds 540.0
2026-05-04 09:54:25,aquanet/water/ph,6.95,OK
2026-05-04 09:54:25,aquanet/water/nitrate,0.28,OK
2026-05-04 09:54:25,aquanet/hydraulic/pressure,3.57,OK
2026-05-04 09:54:25,aquanet/hydraulic/flowrate,90.6,OK
2026-05-04 09:54:25,aquanet/alerts,ALERT E.COLI: 850.0 CFU/100ml exceeds NPS-FM limit of 540.0 - BACTERIAL CONTAMINATION DETECTED,ALERT
2026-05-04 09:54:25,aquanet/alerts,ALERT TURBIDITY: 6.9 NTU exceeds 5.0 NTU - TREATMENT REQUIRED,ALERT
2026-05-04 09:54:35,aquanet/water/turbidity,7.7,ALERT - Turbidity 7.7 NTU exceeds 5.0
2026-05-04 09:54:35,aquanet/water/ecoli,4400.0,ALERT - E.coli 4400.0 CFU/100ml exceeds 540.0
2026-05-04 09:54:35,aquanet/water/ph,6.79,OK
2026-05-04 09:54:35,aquanet/water/nitrate,0.72,OK
2026-05-04 09:54:35,aquanet/hydraulic/pressure,3.34,OK
2026-05-04 09:54:35,aquanet/hydraulic/flowrate,73.1,OK
2026-05-04 09:54:35,aquanet/alerts,ALERT E.COLI: 4400.0 CFU/100ml exceeds NPS-FM limit of 540.0 - BACTERIAL CONTAMINATION DETECTED,ALERT
2026-05-04 09:54:35,aquanet/alerts,ALERT TURBIDITY: 7.7 NTU exceeds 5.0 NTU - TREATMENT REQUIRED,ALERT
2026-05-04 09:54:45,aquanet/water/turbidity,7.1,ALERT - Turbidity 7.1 NTU exceeds 5.0
2026-05-04 09:54:45,aquanet/water/ecoli,4200.0,ALERT - E.coli 4200.0 CFU/100ml exceeds 540.0
2026-05-04 09:54:45,aquanet/water/ph,6.87,OK
2026-05-04 09:54:45,aquanet/water/nitrate,0.6,OK
2026-05-04 09:54:45,aquanet/hydraulic/pressure,3.16,OK
2026-05-04 09:54:45,aquanet/hydraulic/flowrate,96.0,OK
2026-05-04 09:54:45,aquanet/alerts,ALERT E.COLI: 4200.0 CFU/100ml exceeds NPS-FM limit of 540.0 - BACTERIAL CONTAMINATION DETECTED,ALERT
2026-05-04 09:54:45,aquanet/alerts,ALERT TURBIDITY: 7.1 NTU exceeds 5.0 NTU - TREATMENT REQUIRED,ALERT
2026-05-04 09:54:55,aquanet/water/turbidity,15.0,ALERT - Turbidity 15.0 NTU exceeds 5.0
2026-05-04 09:54:55,aquanet/water/ecoli,1100.0,ALERT - E.coli 1100.0 CFU/100ml exceeds 540.0
2026-05-04 09:54:55,aquanet/water/ph,6.77,OK
2026-05-04 09:54:55,aquanet/water/nitrate,0.48,OK
2026-05-04 09:54:55,aquanet/hydraulic/pressure,3.08,OK
2026-05-04 09:54:55,aquanet/hydraulic/flowrate,100.0,OK
2026-05-04 09:54:55,aquanet/alerts,ALERT E.COLI: 1100.0 CFU/100ml exceeds NPS-FM limit of 540.0 - BACTERIAL CONTAMINATION DETECTED,ALERT
2026-05-04 09:54:55,aquanet/alerts,ALERT TURBIDITY: 15.0 NTU exceeds 5.0 NTU - TREATMENT REQUIRED,ALERT
2026-05-04 09:55:05,aquanet/water/turbidity,7.9,ALERT - Turbidity 7.9 NTU exceeds 5.0
2026-05-04 09:55:05,aquanet/water/ecoli,3000.0,ALERT - E.coli 3000.0 CFU/100ml exceeds 540.0
2026-05-04 09:55:05,aquanet/water/ph,6.76,OK
2026-05-04 09:55:05,aquanet/water/nitrate,0.4,OK
2026-05-04 09:55:05,aquanet/hydraulic/pressure,4.77,OK
2026-05-04 09:55:05,aquanet/hydraulic/flowrate,79.3,OK
2026-05-04 09:55:05,aquanet/alerts,ALERT E.COLI: 3000.0 CFU/100ml exceeds NPS-FM limit of 540.0 - BACTERIAL CONTAMINATION DETECTED,ALERT
2026-05-04 09:55:05,aquanet/alerts,ALERT TURBIDITY: 7.9 NTU exceeds 5.0 NTU - TREATMENT REQUIRED,ALERT
2026-05-04 09:55:15,aquanet/water/turbidity,13.0,ALERT - Turbidity 13.0 NTU exceeds 5.0
2026-05-04 09:55:15,aquanet/water/ecoli,4400.0,ALERT - E.coli 4400.0 CFU/100ml exceeds 540.0
2026-05-04 09:55:15,aquanet/water/ph,7.24,OK
2026-05-04 09:55:15,aquanet/water/nitrate,0.36,OK
2026-05-04 09:55:15,aquanet/hydraulic/pressure,2.88,OK
2026-05-04 09:55:15,aquanet/hydraulic/flowrate,70.5,OK
2026-05-04 09:55:15,aquanet/alerts,ALERT E.COLI: 4400.0 CFU/100ml exceeds NPS-FM limit of 540.0 - BACTERIAL CONTAMINATION DETECTED,ALERT
2026-05-04 09:55:15,aquanet/alerts,ALERT TURBIDITY: 13.0 NTU exceeds 5.0 NTU - TREATMENT REQUIRED,ALERT
2026-05-04 09:55:25,aquanet/water/turbidity,12.0,ALERT - Turbidity 12.0 NTU exceeds 5.0
2026-05-04 09:55:25,aquanet/water/ecoli,1600.0,ALERT - E.coli 1600.0 CFU/100ml exceeds 540.0
2026-05-04 09:55:25,aquanet/water/ph,6.89,OK
2026-05-04 09:55:25,aquanet/water/nitrate,0.34,OK
2026-05-04 09:55:25,aquanet/hydraulic/pressure,3.38,OK
2026-05-04 09:55:25,aquanet/hydraulic/flowrate,93.8,OK
2026-05-04 09:55:25,aquanet/alerts,ALERT E.COLI: 1600.0 CFU/100ml exceeds NPS-FM limit of 540.0 - BACTERIAL CONTAMINATION DETECTED,ALERT
2026-05-04 09:55:25,aquanet/alerts,ALERT TURBIDITY: 12.0 NTU exceeds 5.0 NTU - TREATMENT REQUIRED,ALERT
2026-05-04 09:55:35,aquanet/water/turbidity,11.0,ALERT - Turbidity 11.0 NTU exceeds 5.0
2026-05-04 09:55:35,aquanet/water/ecoli,1100.0,ALERT - E.coli 1100.0 CFU/100ml exceeds 540.0
2026-05-04 09:55:35,aquanet/water/ph,6.68,OK
2026-05-04 09:55:35,aquanet/water/nitrate,0.3,OK
2026-05-04 09:55:35,aquanet/hydraulic/pressure,3.05,OK
2026-05-04 09:55:35,aquanet/hydraulic/flowrate,95.5,OK
2026-05-04 09:55:35,aquanet/alerts,ALERT E.COLI: 1100.0 CFU/100ml exceeds NPS-FM limit of 540.0 - BACTERIAL CONTAMINATION DETECTED,ALERT
2026-05-04 09:55:35,aquanet/alerts,ALERT TURBIDITY: 11.0 NTU exceeds 5.0 NTU - TREATMENT REQUIRED,ALERT
2026-05-04 09:55:45,aquanet/water/turbidity,8.3,ALERT - Turbidity 8.3 NTU exceeds 5.0
2026-05-04 09:55:45,aquanet/water/ecoli,1000.0,ALERT - E.coli 1000.0 CFU/100ml exceeds 540.0
2026-05-04 09:55:45,aquanet/water/ph,7.21,OK
2026-05-04 09:55:45,aquanet/water/nitrate,0.31,OK
2026-05-04 09:55:45,aquanet/hydraulic/pressure,2.92,OK
2026-05-04 09:55:45,aquanet/hydraulic/flowrate,88.8,OK
2026-05-04 09:55:45,aquanet/alerts,ALERT E.COLI: 1000.0 CFU/100ml exceeds NPS-FM limit of 540.0 - BACTERIAL CONTAMINATION DETECTED,ALERT
2026-05-04 09:55:45,aquanet/alerts,ALERT TURBIDITY: 8.3 NTU exceeds 5.0 NTU - TREATMENT REQUIRED,ALERT
2026-05-04 09:55:55,aquanet/water/turbidity,9.7,ALERT - Turbidity 9.7 NTU exceeds 5.0
2026-05-04 09:55:55,aquanet/water/ecoli,380.0,OK
2026-05-04 09:55:55,aquanet/water/ph,6.99,OK
2026-05-04 09:55:55,aquanet/water/nitrate,0.31,OK
2026-05-04 09:55:55,aquanet/hydraulic/pressure,3.05,OK
2026-05-04 09:55:55,aquanet/hydraulic/flowrate,94.9,OK
2026-05-04 09:55:55,aquanet/alerts,ALERT TURBIDITY: 9.7 NTU exceeds 5.0 NTU - TREATMENT REQUIRED,ALERT
2026-05-04 09:56:05,aquanet/water/turbidity,9.1,ALERT - Turbidity 9.1 NTU exceeds 5.0
2026-05-04 09:56:05,aquanet/water/ecoli,520.0,OK
2026-05-04 09:56:05,aquanet/water/ph,6.77,OK
2026-05-04 09:56:05,aquanet/water/nitrate,0.24,OK
2026-05-04 09:56:05,aquanet/hydraulic/pressure,3.34,OK
2026-05-04 09:56:05,aquanet/hydraulic/flowrate,72.4,OK
2026-05-04 09:56:05,aquanet/alerts,ALERT TURBIDITY: 9.1 NTU exceeds 5.0 NTU - TREATMENT REQUIRED,ALERT
2026-05-04 09:56:15,aquanet/water/turbidity,6.9,ALERT - Turbidity 6.9 NTU exceeds 5.0
2026-05-04 09:56:15,aquanet/water/ecoli,390.0,OK
2026-05-04 09:56:15,aquanet/water/ph,6.78,OK
2026-05-04 09:56:15,aquanet/water/nitrate,0.21,OK
2026-05-04 09:56:15,aquanet/hydraulic/pressure,2.95,OK
2026-05-04 09:56:15,aquanet/hydraulic/flowrate,72.8,OK
2026-05-04 09:56:15,aquanet/alerts,ALERT TURBIDITY: 6.9 NTU exceeds 5.0 NTU - TREATMENT REQUIRED,ALERT
2026-05-04 09:56:25,aquanet/water/turbidity,8.5,ALERT - Turbidity 8.5 NTU exceeds 5.0
2026-05-04 09:56:25,aquanet/water/ecoli,720.0,ALERT - E.coli 720.0 CFU/100ml exceeds 540.0
2026-05-04 09:56:25,aquanet/water/ph,6.99,OK
2026-05-04 09:56:25,aquanet/water/nitrate,0.29,OK
2026-05-04 09:56:25,aquanet/hydraulic/pressure,3.43,OK
2026-05-04 09:56:25,aquanet/hydraulic/flowrate,90.3,OK
2026-05-04 09:56:25,aquanet/alerts,ALERT E.COLI: 720.0 CFU/100ml exceeds NPS-FM limit of 540.0 - BACTERIAL CONTAMINATION DETECTED,ALERT
2026-05-04 09:56:25,aquanet/alerts,ALERT TURBIDITY: 8.5 NTU exceeds 5.0 NTU - TREATMENT REQUIRED,ALERT
2026-05-04 09:56:35,aquanet/water/turbidity,8.0,ALERT - Turbidity 8.0 NTU exceeds 5.0
2026-05-04 09:56:35,aquanet/water/ecoli,790.0,ALERT - E.coli 790.0 CFU/100ml exceeds 540.0
2026-05-04 09:56:35,aquanet/water/ph,6.78,OK
2026-05-04 09:56:35,aquanet/water/nitrate,0.4,OK
2026-05-04 09:56:35,aquanet/hydraulic/pressure,2.8,OK
2026-05-04 09:56:35,aquanet/hydraulic/flowrate,90.6,OK
2026-05-04 09:56:35,aquanet/alerts,ALERT E.COLI: 790.0 CFU/100ml exceeds NPS-FM limit of 540.0 - BACTERIAL CONTAMINATION DETECTED,ALERT
2026-05-04 09:56:35,aquanet/alerts,ALERT TURBIDITY: 8.0 NTU exceeds 5.0 NTU - TREATMENT REQUIRED,ALERT
2026-05-04 09:56:45,aquanet/water/turbidity,7.7,ALERT - Turbidity 7.7 NTU exceeds 5.0
2026-05-04 09:56:45,aquanet/water/ecoli,590.0,ALERT - E.coli 590.0 CFU/100ml exceeds 540.0
2026-05-04 09:56:45,aquanet/water/ph,6.95,OK
2026-05-04 09:56:45,aquanet/water/nitrate,0.38,OK
2026-05-04 09:56:45,aquanet/hydraulic/pressure,2.91,OK
2026-05-04 09:56:45,aquanet/hydraulic/flowrate,89.3,OK
2026-05-04 09:56:45,aquanet/alerts,ALERT E.COLI: 590.0 CFU/100ml exceeds NPS-FM limit of 540.0 - BACTERIAL CONTAMINATION DETECTED,ALERT
2026-05-04 09:56:45,aquanet/alerts,ALERT TURBIDITY: 7.7 NTU exceeds 5.0 NTU - TREATMENT REQUIRED,ALERT
2026-05-04 09:56:55,aquanet/water/turbidity,9.7,ALERT - Turbidity 9.7 NTU exceeds 5.0
2026-05-04 09:56:55,aquanet/water/ecoli,0.0,OK
2026-05-04 09:56:55,aquanet/water/ph,6.8,OK
2026-05-04 09:56:55,aquanet/water/nitrate,0.137,OK
2026-05-04 09:56:55,aquanet/hydraulic/pressure,5.41,ALERT - Pressure 5.41 bar exceeds 5.0
2026-05-04 09:56:55,aquanet/hydraulic/flowrate,90.0,OK
2026-05-04 09:56:55,aquanet/alerts,ALERT TURBIDITY: 9.7 NTU exceeds 5.0 NTU - TREATMENT REQUIRED,ALERT
2026-05-04 09:56:55,aquanet/alerts,ALERT PRESSURE HIGH: 5.41 bar exceeds 5.0 bar - PIPE BURST RISK,ALERT
2026-05-04 09:57:05,aquanet/water/turbidity,7.5,ALERT - Turbidity 7.5 NTU exceeds 5.0
2026-05-04 09:57:05,aquanet/water/ecoli,9800.0,ALERT - E.coli 9800.0 CFU/100ml exceeds 540.0
2026-05-04 09:57:05,aquanet/water/ph,7.27,OK
2026-05-04 09:57:05,aquanet/water/nitrate,0.4,OK
2026-05-04 09:57:05,aquanet/hydraulic/pressure,3.28,OK
2026-05-04 09:57:05,aquanet/hydraulic/flowrate,71.7,OK
2026-05-04 09:57:05,aquanet/alerts,ALERT E.COLI: 9800.0 CFU/100ml exceeds NPS-FM limit of 540.0 - BACTERIAL CONTAMINATION DETECTED,ALERT
2026-05-04 09:57:05,aquanet/alerts,ALERT TURBIDITY: 7.5 NTU exceeds 5.0 NTU - TREATMENT REQUIRED,ALERT
2026-05-04 09:57:15,aquanet/water/turbidity,10.0,ALERT - Turbidity 10.0 NTU exceeds 5.0
2026-05-04 09:57:15,aquanet/water/ecoli,2100.0,ALERT - E.coli 2100.0 CFU/100ml exceeds 540.0
2026-05-04 09:57:15,aquanet/water/ph,7.07,OK
2026-05-04 09:57:15,aquanet/water/nitrate,0.51,OK
2026-05-04 09:57:15,aquanet/hydraulic/pressure,3.12,OK
2026-05-04 09:57:15,aquanet/hydraulic/flowrate,71.3,OK
2026-05-04 09:57:15,aquanet/alerts,ALERT E.COLI: 2100.0 CFU/100ml exceeds NPS-FM limit of 540.0 - BACTERIAL CONTAMINATION DETECTED,ALERT
2026-05-04 09:57:15,aquanet/alerts,ALERT TURBIDITY: 10.0 NTU exceeds 5.0 NTU - TREATMENT REQUIRED,ALERT
2026-05-04 09:57:25,aquanet/water/turbidity,12.0,ALERT - Turbidity 12.0 NTU exceeds 5.0
2026-05-04 09:57:25,aquanet/water/ecoli,2200.0,ALERT - E.coli 2200.0 CFU/100ml exceeds 540.0
2026-05-04 09:57:25,aquanet/water/ph,7.45,OK
2026-05-04 09:57:25,aquanet/water/nitrate,0.47,OK
2026-05-04 09:57:25,aquanet/hydraulic/pressure,5.55,ALERT - Pressure 5.55 bar exceeds 5.0
2026-05-04 09:57:25,aquanet/hydraulic/flowrate,86.0,OK
2026-05-04 09:57:25,aquanet/alerts,ALERT E.COLI: 2200.0 CFU/100ml exceeds NPS-FM limit of 540.0 - BACTERIAL CONTAMINATION DETECTED,ALERT
2026-05-04 09:57:25,aquanet/alerts,ALERT TURBIDITY: 12.0 NTU exceeds 5.0 NTU - TREATMENT REQUIRED,ALERT
2026-05-04 09:57:25,aquanet/alerts,ALERT PRESSURE HIGH: 5.55 bar exceeds 5.0 bar - PIPE BURST RISK,ALERT
2026-05-04 09:57:35,aquanet/water/turbidity,7.5,ALERT - Turbidity 7.5 NTU exceeds 5.0
2026-05-04 09:57:35,aquanet/water/ecoli,1500.0,ALERT - E.coli 1500.0 CFU/100ml exceeds 540.0
2026-05-04 09:57:35,aquanet/water/ph,7.43,OK
2026-05-04 09:57:35,aquanet/water/nitrate,0.35,OK
2026-05-04 09:57:35,aquanet/hydraulic/pressure,3.26,OK
2026-05-04 09:57:35,aquanet/hydraulic/flowrate,89.4,OK
2026-05-04 09:57:35,aquanet/alerts,ALERT E.COLI: 1500.0 CFU/100ml exceeds NPS-FM limit of 540.0 - BACTERIAL CONTAMINATION DETECTED,ALERT
2026-05-04 09:57:35,aquanet/alerts,ALERT TURBIDITY: 7.5 NTU exceeds 5.0 NTU - TREATMENT REQUIRED,ALERT
2026-05-04 09:57:45,aquanet/water/turbidity,7.8,ALERT - Turbidity 7.8 NTU exceeds 5.0
2026-05-04 09:57:45,aquanet/water/ecoli,4000.0,ALERT - E.coli 4000.0 CFU/100ml exceeds 540.0
2026-05-04 09:57:45,aquanet/water/ph,7.07,OK
2026-05-04 09:57:45,aquanet/water/nitrate,0.39,OK
2026-05-04 09:57:45,aquanet/hydraulic/pressure,3.4,OK
2026-05-04 09:57:45,aquanet/hydraulic/flowrate,78.1,OK
2026-05-04 09:57:45,aquanet/alerts,ALERT E.COLI: 4000.0 CFU/100ml exceeds NPS-FM limit of 540.0 - BACTERIAL CONTAMINATION DETECTED,ALERT
2026-05-04 09:57:45,aquanet/alerts,ALERT TURBIDITY: 7.8 NTU exceeds 5.0 NTU - TREATMENT REQUIRED,ALERT
2026-05-04 09:57:55,aquanet/water/turbidity,7.0,ALERT - Turbidity 7.0 NTU exceeds 5.0
2026-05-04 09:57:55,aquanet/water/ecoli,1400.0,ALERT - E.coli 1400.0 CFU/100ml exceeds 540.0
2026-05-04 09:57:55,aquanet/water/ph,6.72,OK
2026-05-04 09:57:55,aquanet/water/nitrate,0.34,OK
2026-05-04 09:57:55,aquanet/hydraulic/pressure,2.81,OK
2026-05-04 09:57:55,aquanet/hydraulic/flowrate,98.9,OK
2026-05-04 09:57:55,aquanet/alerts,ALERT E.COLI: 1400.0 CFU/100ml exceeds NPS-FM limit of 540.0 - BACTERIAL CONTAMINATION DETECTED,ALERT
2026-05-04 09:57:55,aquanet/alerts,ALERT TURBIDITY: 7.0 NTU exceeds 5.0 NTU - TREATMENT REQUIRED,ALERT
2026-05-04 09:58:05,aquanet/water/turbidity,8.8,ALERT - Turbidity 8.8 NTU exceeds 5.0
2026-05-04 09:58:05,aquanet/water/ecoli,890.0,ALERT - E.coli 890.0 CFU/100ml exceeds 540.0
2026-05-04 09:58:05,aquanet/water/ph,6.74,OK
2026-05-04 09:58:05,aquanet/water/nitrate,0.37,OK
2026-05-04 09:58:05,aquanet/hydraulic/pressure,3.24,OK
2026-05-04 09:58:05,aquanet/hydraulic/flowrate,83.4,OK
2026-05-04 09:58:05,aquanet/alerts,ALERT E.COLI: 890.0 CFU/100ml exceeds NPS-FM limit of 540.0 - BACTERIAL CONTAMINATION DETECTED,ALERT
2026-05-04 09:58:05,aquanet/alerts,ALERT TURBIDITY: 8.8 NTU exceeds 5.0 NTU - TREATMENT REQUIRED,ALERT
2026-05-04 09:58:15,aquanet/water/turbidity,16.0,ALERT - Turbidity 16.0 NTU exceeds 5.0
2026-05-04 09:58:15,aquanet/water/ecoli,760.0,ALERT - E.coli 760.0 CFU/100ml exceeds 540.0
2026-05-04 09:58:15,aquanet/water/ph,7.51,OK
2026-05-04 09:58:15,aquanet/water/nitrate,0.5,OK
2026-05-04 09:58:15,aquanet/hydraulic/pressure,3.28,OK
2026-05-04 09:58:15,aquanet/hydraulic/flowrate,78.3,OK
2026-05-04 09:58:15,aquanet/alerts,ALERT E.COLI: 760.0 CFU/100ml exceeds NPS-FM limit of 540.0 - BACTERIAL CONTAMINATION DETECTED,ALERT
2026-05-04 09:58:15,aquanet/alerts,ALERT TURBIDITY: 16.0 NTU exceeds 5.0 NTU - TREATMENT REQUIRED,ALERT
2026-05-04 09:58:25,aquanet/water/turbidity,7.2,ALERT - Turbidity 7.2 NTU exceeds 5.0
2026-05-04 09:58:25,aquanet/water/ecoli,590.0,ALERT - E.coli 590.0 CFU/100ml exceeds 540.0
2026-05-04 09:58:25,aquanet/water/ph,7.26,OK
2026-05-04 09:58:25,aquanet/water/nitrate,0.57,OK
2026-05-04 09:58:25,aquanet/hydraulic/pressure,3.17,OK
2026-05-04 09:58:25,aquanet/hydraulic/flowrate,78.9,OK
